ID,Color,Dimensions,Name,Description
1511,Blue,52.48-86.27,Square,A blue square
5352,Black,381.05-118.17,Square,A black square
3051,Red,296.35-249.32,Square,A red square
5048,Black,182.69-391.92-514.42,Cube,A black cube
5048,Black,7.16-128.98-6.92,Cube,A black cube
8532,Blue,48.84-121.19-427.28,Cube,A blue cube
8532,Blue,12.33-410.39-128.86,Cube,A blue cube
7166,Black,69.29-17.09,Square,A black square
5674,Red,107.18-6.33-199.49,Cube,A red cube
5674,Red,107.18-6.33-199.49,Cube,A red cube
5131,Blue,30.35-19.67-543.81,Cube,A blue cube
5216,Green,310.03-256.65,Rectangle,A green rectangle
9478,Green,423.58-178.67-169.65,Cube,A green cube
9363,Black,62.49-159.31,Square,A black square
4190,Green,695.45-238.64,Square,A green square
4190,Green,102.43-108.75-120.81,Square,A green square
3770,White,118.33-283.33-33.01,Cuboid,A white cuboid
4583,Green,408.68-610.75,Square,A green square
3076,Red,467.2-395.13,Square,A red square
2210,Blue,187.86-123.68,Square,A blue square
2210,Blue,83.38-40.17-403.71,Square,A blue square
8098,Blue,162.81-456.75,Square,A blue square
8918,Green,141.78-158.45-362.85,Cube,A green cube
5214,White,49.59-6.81-197.2,Cuboid,A white cuboid
9934,Blue,193.1-233.66,Rectangle,A blue rectangle
8373,Green,102.77-17.79,Rectangle,A green rectangle
5678,Green,103.96-51.11-172.19,Cuboid,A green cuboid
9149,Blue,48.03-16.1-97.68,Cube,A blue cube
3140,White,212.16-186.25-437.87,Cuboid,A white cuboid
3140,White,212.16-186.25-437.87,Cuboid,A white cuboid
9999,White,28.47-122.87,Triangle,An unrecognized shape
